block,name,value_text,unit,status,source,note
plant,tube_volume,"4.5238934211693013e-06",m^3,derived,pipe_area*pipe_length,"4.5239 mL of primed tube water."
plant,cage_mass,"0.27000000000000002",kg,given,user / design,"Hoberman sphere mass 0.270 kg."
plant,support_fraction,"1",-,assumption,modeller,"1.0: the bladder carries the cage entirely."
plant,gravity_height_slope,"1",-,assumption,modeller,"Conditional centroid-height law. pg already accounts for the cage weight; do NOT add a separate self-weight term."
plant,selfweight_model,"conditional centroid-height law",-,metadata,modeller,"Name of the above law."
plant,initial_contact_fact,"top button always contacts bladder",-,metadata,user confirmed,"The top button is always in contact with the bladder."
plant,water_column_primed_assumption,"true",-,assumption,modeller,"Tubing is primed and bubble-free at t = 0."
plant,quadratic_loss,"0",Pa*s^2/m^6,assumption,disabled,"Zero. Not identified. Zero does not prove the hardware has no local nonlinear loss."
hydraulic,version,"0.1-conditional-reference",-,metadata,Stage-8,"Conditional reference, version tag."
hydraulic,hydraulic_inertia_scale,"1",-,assumption,modeller,"1.0."
hydraulic,nonlinear_pipe,"true",-,assumption,modeller,"Darcy branch enabled above Re_laminar."
hydraulic,pipe_absolute_roughness_m,"0",m,assumption,smooth-pipe assumption,"Zero. A smooth-pipe assumption, not a measured roughness."
hydraulic,Re_laminar,"2000",-,assumption,engineering threshold,"2000. Not a measured transition for this rig."
hydraulic,Re_turbulent,"4000",-,assumption,engineering threshold,"4000. Cubic smooth blending between the two, also an assumption."
hydraulic,additional_component_K_Pa_s2_m6,"0",Pa*s^2/m^6,assumption,disabled,"Zero and unauthorised. Stage 9 does not add any unidentified valve or flowmeter nonlinear coefficient."
hydraulic,additional_component_K_authorized,"false",-,metadata,Stage-8,"false."
hydraulic,material_relaxation_enabled,"false",-,metadata,Stage-8,"false; no invented Ecoflex relaxation constants."
hydraulic,valve_scope,"fully open; stop at a closing command, do not invent closure transients",-,metadata,Stage-8,"Fully open; stop at a closing command."
hydraulic,fluid_scope,"primed, bubble-free, rigid constant-bore tubing; forward liquid flow only",-,metadata,Stage-8,"Primed, bubble-free, rigid bore, forward liquid flow only."
hydraulic,inertia_source,"rho * sum(L_i/A_i), known straight tubes only; excludes unknown component inertance",-,metadata,Stage-8,""
hydraulic,roughness_source,"smooth-pipe assumption, not a measured roughness",-,metadata,Stage-8,""
hydraulic,transition_source,"engineering 2000/4000 thresholds with cubic smooth blending, not measured transition",-,metadata,Stage-8,""
hydraulic,component_loss_source,"Rh_loaded minus calculated laminar straight-tube resistance; lumped residual, not an identified valve curve",-,metadata,Stage-8,""
hydraulic,additional_component_K_source,"not identified; disabled, zero does not prove no local nonlinear loss",-,metadata,Stage-8,""
hydraulic,material_relaxation_source,"not identified; no invented Ecoflex relaxation constants",-,metadata,Stage-8,"Not identified; no Ecoflex relaxation constants were invented."
hydraulic,experimental_hardware_validation,"false",-,metadata,Stage-8,"false."
hydraulic,pipe_area_m2,"1.2566370614359172e-05",m^2,derived,pi*d^2/4,""
hydraulic,pipe_length_m,"0.35999999999999999",m,derived,sum of straight segments,"0.36 m."
hydraulic,R_pipe_laminar_Pa_s_m3,"57295779.513082303",Pa*s/m^3,derived,128*mu_w*L/(pi*d^4),"Contained inside Rh. Subtracted before the Darcy branch is added, so the laminar tube loss is never counted twice."
hydraulic,R_residual_Pa_s_m3,"1586712525.0125394",Pa*s/m^3,derived,Rh - R_pipe_laminar,"Lumped remainder (valve, flowmeter, fittings, and any absorbed bias). A conditional decomposition of a fitted total, NOT an independently measured component resistance."
hydraulic,Ih_Pa_s2_m3,"28647889.756541163",Pa*s^2/m^3,derived,rho*L/A,"Known straight-tube inertance only. Excludes unknown component inertance."
hydraulic,linear_hydraulic_time_constant_s,"0.01742563567208227",s,derived,Ih/Rh,""
stage8_rom,motor_radius_m,"0.0025000000000000001",m,given,user / motor spec,"Bare shaft winding radius."
stage8_rom,steps_per_rev,"3200",STEP/rev,given,simulation setting,"Simulation uses 3200 STEP/rev. Stored as int64 in the MAT; must be cast to double before arithmetic."
stage8_rom,ku,"4.9087385212340526e-06",m/STEP,derived,2*pi*r/steps_per_rev,"Cable taken up per commanded step."
stage8_rom,stiffness_coefficients,"1.8439040008460696; 0; 0; -0.22212570582595889; 0.24998011350468885; -0.14324395812222043",-,learned,frozen Stage-8 SINDy,"Read from the MAT at full precision. Never retyped, never refitted in Stage 9."
stage8_rom,stiffness_powers,"0; 1; 2; 3; 4; 6",-,learned,frozen Stage-8 SINDy,"Stored as int64 in the MAT; must be cast to double before use as an exponent."
stage8_rom,audited_force_range,"0 to 118",N,learned,frozen Stage-8 audit,"The range over which the LEARNED stiffness was checked positive. It is NOT a motor force limit and NOT a force saturation in the model. Exceeding it means the ROM is being used outside its audited domain, not that the hardware saturated."
